id,is_violent_recid,vr_case_number,vr_charge_degree,vr_offense_date,vr_charge_desc
1,0,,,,
3,1,13009779CF10A,(F3),2013-07-05,Felony Battery (Dom Strang)
4,0,,,,
5,0,,,,
6,0,,,,
7,0,,,,
8,0,,,,
9,0,,,,
10,0,,,,
13,1,15000258CF10A,(F2),2015-01-06,Aggrav Battery w/Deadly Weapon
14,0,,,,
15,0,,,,
16,0,,,,
18,0,,,,
19,0,,,,
20,0,,,,
21,0,,,,
22,0,,,,
23,1,14010409CF10A,(F1),2014-07-16,Kidnapping (Facilitate Felony)
24,0,,,,
25,0,,,,
26,0,,,,
27,0,,,,
28,0,,,,
30,0,,,,
32,0,,,,
33,0,,,,
37,1,15002479CF10A,(F3),2015-02-23,Felony Battery
38,0,,,,
39,0,,,,
40,1,15010523CF10A,(M1),2015-08-15,Battery
41,0,,,,
42,0,,,,
45,0,,,,
50,0,,,,
51,0,,,,
52,0,,,,
53,0,,,,
54,0,,,,
55,0,,,,
56,0,,,,
57,0,,,,
59,0,,,,
61,0,,,,
64,0,,,,
66,1,14004719CF10A,(F2),2014-04-05,Agg Battery Grt/Bod/Harm
67,1,14008544MO10A,(MO3),2014-05-28,DOC/Fighting/Threatening Words
68,0,,,,
69,0,,,,
70,0,,,,
71,0,,,,
72,0,,,,
75,0,,,,
77,0,,,,
79,0,,,,
80,0,,,,
83,0,,,,
84,0,,,,
85,0,,,,
87,0,,,,
88,0,,,,
90,0,,,,
91,0,,,,
93,0,,,,
95,0,,,,
96,0,,,,
97,0,,,,
98,0,,,,
99,0,,,,
100,0,,,,
101,1,14001759MM10A,(M1),2014-02-01,Battery
102,0,,,,
105,0,,,,
107,0,,,,
108,0,,,,
111,0,,,,
113,0,,,,
114,0,,,,
115,1,13016053CF10A,(F3),2013-11-19,Child Abuse
116,1,15007890CF10A,(M1),2015-04-05,Felony Battery w/Prior Convict
119,0,,,,
120,0,,,,
122,1,15006514CF10A,(F3),2015-04-24,Battery on a Person Over 65
127,0,,,,
128,1,16003005CF10A,(M1),2016-03-09,Battery
130,1,14001348CF10A,(F2),2014-01-30,Agg Battery Grt/Bod/Harm
131,0,,,,
132,0,,,,
136,0,,,,
137,0,,,,
138,0,,,,
139,0,,,,
142,1,15006549MM10A,(M1),2015-06-17,Battery
143,0,,,,
145,0,,,,
146,0,,,,
147,0,,,,
148,0,,,,
150,0,,,,
151,1,15002656CF10A,(F3),2015-02-26,Battery on Law Enforc Officer
152,0,,,,
153,0,,,,
154,1,13020368MM10A,(M1),2013-10-27,Battery
156,0,,,,
157,0,,,,
158,0,,,,
159,0,,,,
160,1,15007122CF10A,(F3),2015-05-31,Aggravated Assault W/Dead Weap
163,0,,,,
166,0,,,,
169,0,,,,
171,0,,,,
173,0,,,,
174,0,,,,
175,0,,,,
176,0,,,,
177,0,,,,
178,0,,,,
180,0,,,,
182,0,,,,
183,1,14015876MM10A,(M1),2014-11-03,Battery
184,0,,,,
187,0,,,,
189,0,,,,
190,0,,,,
192,0,,,,
193,0,,,,
194,0,,,,
195,0,,,,
197,0,,,,
199,0,,,,
200,0,,,,
202,0,,,,
203,0,,,,
206,0,,,,
208,0,,,,
209,1,14007741MM10A,(M1),2014-05-11,Battery
210,0,,,,
213,0,,,,
215,0,,,,
216,0,,,,
218,0,,,,
220,0,,,,
222,0,,,,
223,0,,,,
224,1,15004732CF10A,(F1),2015-04-10,Manslaughter with Weapon
225,1,14011238CF10A,(M1),2014-08-16,Battery
227,0,,,,
228,0,,,,
229,0,,,,
231,0,,,,
232,0,,,,
234,0,,,,
235,0,,,,
236,0,,,,
238,1,15006709CF10A,(F3),2015-05-23,Aggravated Assault W/Dead Weap
239,0,,,,
240,0,,,,
241,0,,,,
242,0,,,,
243,0,,,,
244,0,,,,
245,0,,,,
246,0,,,,
248,0,,,,
249,0,,,,
251,0,,,,
252,0,,,,
254,0,,,,
257,0,,,,
258,0,,,,
259,0,,,,
260,0,,,,
262,0,,,,
263,0,,,,
264,0,,,,
265,1,15003512CF10A,(F2),2015-03-15,Aggrav Battery w/Deadly Weapon
266,0,,,,
267,0,,,,
268,0,,,,
269,0,,,,
271,0,,,,
272,0,,,,
275,0,,,,
277,0,,,,
278,0,,,,
279,0,,,,
280,0,,,,
281,1,16000414MM20A,(M1),2016-01-10,Battery
282,0,,,,
285,0,,,,
286,0,,,,
287,1,14005925MM10A,(M1),2014-04-07,Battery
288,0,,,,
289,0,,,,
291,0,,,,
293,1,15003342CF10A,(F2),2015-03-12,Robbery W/Firearm
294,0,,,,
297,0,,,,
298,0,,,,
299,0,,,,
300,0,,,,
301,0,,,,
302,0,,,,
304,0,,,,
306,0,,,,
308,0,,,,
310,0,,,,
311,1,13009339MM10A,(M1),2013-05-13,Battery
313,0,,,,
315,0,,,,
316,0,,,,
317,0,,,,
319,0,,,,
320,0,,,,
321,0,,,,
322,0,,,,
323,0,,,,
325,0,,,,
326,1,14010147MM10A,(M1),2014-07-01,Battery
327,0,,,,
329,0,,,,
330,0,,,,
331,0,,,,
332,0,,,,
333,0,,,,
334,0,,,,
335,1,15007263MM10A,(M1),2015-07-07,Battery
336,0,,,,
337,0,,,,
338,0,,,,
341,0,,,,
344,0,,,,
345,0,,,,
347,0,,,,
348,0,,,,
349,0,,,,
350,1,15000025CF10A,(F1),2014-12-20,Robbery W/Firearm
351,0,,,,
354,0,,,,
355,0,,,,
356,0,,,,
357,0,,,,
358,0,,,,
359,0,,,,
360,0,,,,
361,0,,,,
362,0,,,,
363,0,,,,
364,0,,,,
366,0,,,,
369,0,,,,
372,0,,,,
374,1,14012031MM10A,(M1),2014-08-08,Battery
375,0,,,,
376,1,14017564MM10A,(M1),2014-12-14,Battery
377,1,14015676MM10A,(M1),2014-10-29,Battery
378,0,,,,
379,0,,,,
381,0,,,,
382,0,,,,
383,0,,,,
384,0,,,,
385,1,14002931CF10A,(F3),2014-03-02,Felony Battery (Dom Strang)
386,0,,,,
389,0,,,,
390,0,,,,
392,0,,,,
393,0,,,,
396,0,,,,
398,0,,,,
399,0,,,,
400,0,,,,
402,0,,,,
403,0,,,,
404,0,,,,
405,1,13015848CF10A,(F3),2013-11-14,Aggravated Assault W/Dead Weap
406,0,,,,
407,0,,,,
408,0,,,,
409,0,,,,
410,0,,,,
411,0,,,,
414,0,,,,
415,0,,,,
416,0,,,,
417,0,,,,
423,0,,,,
424,1,15004954CF10A,(F2),2015-04-15,Aggravated Battery / Pregnant
425,0,,,,
426,0,,,,
428,0,,,,
429,0,,,,
430,1,15011432CF10A,(F3),2015-09-03,Aggravated Assault W/Dead Weap
431,0,,,,
